ID,i
8969,3654
49940,2750
66097,1884
87390,1865
99915,1883
100728,1866
110707,2743
121266,1825
123228,1842
128954,1835
134731,2742
136373,1862
138914,1860
143648,1834
145252,1838
147807,1863
149081,1861
149224,1867
149480,2731
150058,1843
150214,1877
150604,3263
154213,1832
155074,1837
156308,2745
158738,1872
158815,1812
158988,1847
161349,2020
164133,1878
166147,1870
166308,2023
166981,1768
167507,1875
167512,3271
169542,1849
169706,1772
171577,2725
171771,1814
171901,1910
172708,1844
172922,1815
172935,1925
173053,1864
173384,2765
174129,1840
176906,2732
177697,1908
178236,1901
179631,1873
179996,2766
180462,1836
183655,3659
185819,1855
185917,2024
189307,2834
191523,1798
191981,1770
192185,1948
192327,1871
192643,1809
192835,1820
193191,1853
193212,1951
195004,1926
195293,3380
196126,2018
197979,2027
198348,3382
198996,2675
199713,2152
200240,2162
201389,2764
201497,1881
201555,1869
202465,1760
202984,2151
204449,1833
205469,2714
205920,1822
206533,3376
208027,1920
208611,1874
208681,1902
208739,3280
210362,1850
210704,1903
211437,2145
212499,1802
212772,1854
212779,3294
212953,3674
213203,1763
213360,1831
213663,1796
215142,1918
215158,1911
215651,1804
215929,542
215943,1794
216350,2749
216708,1904
217180,4003
217425,1913
217489,2013
218320,3375
218980,1900
220140,1771
220288,3304
220345,1852
220551,1784
220730,2021
221971,1845
222363,2143
222465,1801
222544,1851
222723,1767
223778,1765
223951,2025
226088,2699
226294,3264
227007,1785
227400,2029
228670,2154
229938,1897
230785,1509
231455,1907
231458,1919
231837,2141
232171,3299
232497,3266
232704,2156
233214,541
233363,2759
233595,2717
233605,538
233700,1912
233712,1914
234048,1816
235265,1762
235734,3706
236394,1894
237347,2734
238090,2760
238668,2735
239908,1891
240362,1896
240383,1893
240895,1952
241219,2034
241508,1781
241554,1953
241904,1792
242338,531
242385,1797
242550,2148
243074,2149
243225,3254
243592,1892
243977,1898
244279,1790
244448,1895
246467,3300
246950,2150
247767,3383
247877,3233
248022,536
248065,1780
248957,3656
249368,1899
249379,2014
249669,2142
250994,1776
251456,1818
251679,2668
251970,1958
252977,892
253192,3241
253494,534
253936,3232
254070,1916
254924,3235
254973,2135
255148,1783
255653,878
257310,981
258190,3994
258988,3334
259117,1954
259664,1880
259874,1888
260549,2153
260972,3997
261382,1813
261602,2031
262286,886
262516,2022
262718,2886
262797,1787
263032,537
263320,1764
263569,1890
263599,2778
263785,2843
264232,2758
264418,1003
265085,533
265115,3296
265264,1959
265836,3237
266013,1905
266042,1779
266630,2882
267821,890
268620,967
271000,1821
272441,2891
272572,987
272741,2016
272943,2754
273403,529
274153,3218
274335,1782
276554,3224
277467,4004
277917,2893
278003,3621
278250,2159
278421,4001
279384,3687
279761,1886
279879,2158
280322,3431
280487,818
280576,1753
280685,2705
280712,2026
280768,2157
280813,1823
281128,1745
282498,1807
282529,3335
282585,260
283462,3630
283498,2883
283742,872
284147,1955
284209,138
284560,3993
284733,2698
284936,2134
285283,1811
285322,3643
285627,911
285638,3341
285728,902
286866,3336
287015,1004
287239,1808
287624,3207
288559,985
288900,3998
288925,828
288986,965
289874,1960
289891,747
290940,2881
291109,2137
291291,2831
291295,1755
291911,4002
292565,1444
292658,969
293839,2712
293988,2658
295280,881
295934,1512
295961,3267
297892,996
298487,3338
299361,2713
300070,2828
300786,2662
301078,970
301614,51
301744,2682
303691,2038
303796,4012
304319,414
304439,1803
305664,2665
305831,1757
305859,3388
305868,1583
305924,2694
306476,1800
306945,2043
307174,2667
307901,3348
308547,4010
308866,1950
309104,2053
309395,3387
309585,1752
310180,1789
310302,40
310591,2050
310636,2163
311176,973
311305,2041
311451,875
311531,2663
311831,2144
311910,1019
312003,544
312655,3253
312742,879
313813,4014
314431,2040
314830,2051
315977,2642
316110,2046
316436,410
316483,1756
316931,850
317570,4007
318129,761
319595,984
320331,1966
320928,1507
321383,3406
323189,709
323559,39
323575,411
