ID,group,z,L(6um),Lx(0.5-10)int,Lx(0.5-10)obs,Lx_limit
197038,RED,0.518,43.630513345552,42.88484201699301,42.8489990234375,nan
201680,RED,0.818,44.20932116930501,nan,nan,42.199593
204337,RED,0.623,44.57773157279264,42.8252779046081,42.652000427246094,nan
215821,RED,1.287,44.56257535021943,nan,nan,42.687558
216308,RED,3.3632,44.33450241050333,nan,nan,42.690067
221280,RED,2.2348,45.219901381592535,nan,nan,43.266872
221793,RED,1.9672,44.59548719490974,nan,nan,43.071589
221933,RED,3.4885,45.44822804347781,nan,nan,43.74667
223756,RED,2.0787,45.235825822319285,nan,nan,43.165941
223968,RED,1.3709,44.08930992716782,nan,nan,42.673226
224665,RED,2.3011,45.56462928661891,nan,nan,43.285915
226472,RED,2.3249,44.38724948612494,nan,nan,42.722975
228653,RED,3.4372,45.48015383604811,nan,nan,43.117067
230426,RED,2.5113,43.83479821432967,nan,nan,43.426624
234745,RED,1.0769,43.98061309454794,nan,nan,42.690067
238114,RED,1.4219,44.55766335280651,nan,nan,42.647455
239310,RED,1.154,44.49281725078891,nan,nan,42.68168
239627,RED,1.7982,44.51923254836487,nan,nan,42.880754
240778,RED,2.1029,45.2284319531341,nan,nan,43.22268
243027,RED,2.0661,44.13007959947353,nan,nan,43.197278
245362,RED,2.4983,44.358692070570335,nan,nan,43.516874
251243,RED,0.7507,42.84418840105133,nan,nan,42.033051
251852,RED,2.0037,44.901714737367314,nan,nan,43.149906
253510,RED,2.2262,44.726880647185695,nan,nan,43.309228
255123,RED,0.775,43.87571358220056,42.942910082793766,42.85300064086914,nan
257247,RED,1.3434,44.88090578404495,nan,nan,42.89462
256906,RED,1.8101,45.01375641792084,nan,nan,42.852462
257886,RED,1.891,44.861845557199956,nan,nan,43.144505
258594,RED,2.5895,44.87952783510631,nan,nan,42.048171
259215,RED,1.8742,44.88442908983898,nan,nan,43.17123
261822,RED,2.6109,44.612540431837495,nan,nan,39.007981
266916,RED,2.8553,44.90164568683519,nan,nan,41.93777
272293,RED,3.0311,45.12300667590591,nan,nan,43.63697
272738,RED,2.1673,45.49074614169683,nan,nan,43.405887
273260,RED,2.2324,44.74864703147038,nan,nan,42.908305
274051,RED,0.8987,44.19364717145938,nan,nan,42.314047
275098,RED,1.5843,44.999973069707345,nan,nan,42.845268
275452,RED,1.9147,45.23745392508019,nan,nan,43.11149
275629,RED,0.7152,44.76222037733865,nan,nan,42.07781
278898,RED,0.339,43.494298659041895,nan,nan,43.505552
279689,RED,2.7799,44.9197370643607,nan,nan,42.941755
280625,RED,1.676,44.409967405134374,nan,nan,43.405887
281548,RED,2.531,45.10171904148298,nan,nan,43.840825
278202,RED,3.6521,45.40088861592835,nan,nan,41.277692
283629,RED,1.0724,43.108448051915,nan,nan,43.237624
284435,RED,3.2311,44.67747004584042,nan,nan,43.609983
285984,RED,1.1325,44.04549339658972,nan,nan,43.155279
285385,RED,1.7195,44.477333628426145,nan,nan,42.575546
287155,RED,2.3376,44.92229648124482,nan,nan,43.557329
287834,RED,3.8179,45.71408291980697,nan,nan,43.864909
288793,RED,1.3949,44.16074537368337,nan,nan,42.629924
303302,RED,0.0152,39.68213086913167,nan,nan,43.401687
303625,RED,1.8635,44.209940864399414,nan,nan,41.471974
304928,RED,2.344,44.01203148949694,nan,nan,42.808547
304818,RED,1.44,44.451177779341734,nan,nan,43.266872
307055,RED,2.5912,45.16089251157959,nan,nan,43.470798
308287,RED,0.2843,41.85170361942825,nan,nan,40.890622
309365,RED,4.1266,45.71103473334738,nan,nan,43.247467
311246,RED,1.4535,44.49676723939192,nan,nan,42.714843
314341,RED,2.2387,44.724180994616276,nan,nan,43.36309
314722,RED,1.9242,44.859746737007384,nan,nan,43.181729
314810,RED,3.4992,45.302335788961315,nan,nan,43.744133
317748,RED,1.4485,42.969600706913326,nan,nan,41.446579
317991,RED,2.6778,44.195555309304034,nan,nan,43.501749
318426,RED,2.6902,44.96714241599198,nan,nan,43.571643
321176,RED,2.3255,45.57268364778036,nan,nan,42.048171
325140,RED,3.3145,45.41498506622295,nan,nan,43.626935
325177,RED,2.3426,44.92272420814075,nan,nan,43.358709
328457,RED,0.5545,42.9171549000705,nan,nan,41.568149
330332,RED,2.1312,44.15862751967398,nan,nan,43.242557
333394,RED,0.672,44.178439743916435,42.606140148675216,42.426998138427734,nan
335753,RED,3.2182,44.60717447752769,nan,nan,43.630291
338083,RED,1.7792,45.36254029476523,nan,nan,43.155279
337738,RED,2.8974,45.19256478512245,nan,nan,42.993143
338765,RED,2.4116,44.90756852319545,nan,nan,43.336516
340238,RED,3.7672,45.92792991880532,nan,nan,42.948318
343447,RED,1.6812,44.302708598302814,nan,nan,43.083147
345290,RED,2.6222,44.88400420182177,nan,nan,42.722975
346443,RED,3.6109,45.59297533385174,nan,nan,43.776463
347369,RED,2.9687,44.80986295064949,nan,nan,43.596211
347873,RED,2.6066,45.20957360569759,nan,nan,43.482517
348191,RED,3.4344,45.07997673317675,nan,nan,43.747117
348999,RED,2.5976,44.59078617508158,nan,nan,43.318406
351641,RED,0.4201,43.23934665131012,nan,nan,41.496804
352229,RED,3.3562,44.27633162272281,nan,nan,42.415559
