ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN
      197038,RED,  0.51800, 43.63051, 42.88484, 42.84900,      NaN, 43.44963, 23.20426,  0.48817,  0.30659, 42.88484, 21.15669,  6.01695,  0.11850
      201680,RED,  0.81800, 44.20932,      NaN,      NaN, 42.19959, 43.93583, 24.27804,  0.41392,  0.14733, 43.93583, 24.27804,  0.42011,  0.14762
      204337,RED,  0.62300, 44.57773, 42.82528, 42.65200,      NaN, 44.24529, 24.16471,  0.26189,  0.13929, 42.82528, 21.84111,  3.32752,  0.37367
      215821,RED,  1.28700, 44.56258,      NaN,      NaN, 42.68756, 44.23256, 24.12987,  0.24940,  0.14361, 44.23256, 24.12987,  0.23663,  0.14146
      216308,RED,  3.36320, 44.33450,      NaN,      NaN, 42.69007, 44.04098, 23.98923,  0.20233,  0.14411, 44.04098, 23.98923,  0.20649,  0.14075
      221280,RED,  2.23480, 45.21990,      NaN,      NaN, 43.26687, 44.59796, 23.97406,  0.20905,  0.14673, 44.59796, 23.97406,  0.20161,  0.14185
      221793,RED,  1.96720, 44.59549,      NaN,      NaN, 43.07159, 44.26021, 23.86504,  0.21351,  0.16333, 44.26021, 23.86504,  0.21544,  0.15856
      221933,RED,  3.48850, 45.44823,      NaN,      NaN, 43.74667, 44.68929, 23.65087,  0.26259,  0.19991, 44.68929, 23.65087,  0.24875,  0.20567
      223756,RED,  2.07870, 45.23583,      NaN,      NaN, 43.16594, 44.60433, 24.05295,  0.19897,  0.14601, 44.60433, 24.05295,  0.20322,  0.14207
      223968,RED,  1.37090, 44.08931,      NaN,      NaN, 42.67323, 43.83502, 23.84452,  0.21471,  0.16326, 43.83502, 23.84452,  0.22532,  0.16484
      224665,RED,  2.30110, 45.56463,      NaN,      NaN, 43.28592, 44.73585, 24.06128,  0.20164,  0.14254, 44.73585, 24.06128,  0.19664,  0.14236
      226472,RED,  2.32490, 44.38725,      NaN,      NaN, 42.72297, 44.08529, 23.99795,  0.20280,  0.14564, 44.08529, 23.99795,  0.20671,  0.14436
      228653,RED,  3.43720, 45.48015,      NaN,      NaN, 43.11707, 44.70206, 24.15872,  0.27198,  0.13840, 44.70206, 24.15872,  0.27471,  0.14041
      230426,RED,  2.51130, 43.83480,      NaN,      NaN, 43.42662, 43.62123, 21.95693,  2.67782,  0.38657, 43.62123, 21.95693,  2.63931,  0.38894
      234745,RED,  1.07690, 43.98061,      NaN,      NaN, 42.69007, 43.74371, 23.76176,  0.21865,  0.18280, 43.74371, 23.76176,  0.21900,  0.17991
      238114,RED,  1.42190, 44.55766,      NaN,      NaN, 42.64746, 44.22844, 24.15582,  0.26939,  0.13837, 44.22844, 24.15582,  0.27619,  0.14067
      239310,RED,  1.15400, 44.49282,      NaN,      NaN, 42.68168, 44.17396, 24.09184,  0.21849,  0.14186, 44.17396, 24.09184,  0.20249,  0.14452
      239627,RED,  1.79820, 44.51923,      NaN,      NaN, 42.88075, 44.19615, 23.96205,  0.20785,  0.14504, 44.19615, 23.96205,  0.20523,  0.14521
      240778,RED,  2.10290, 45.22843,      NaN,      NaN, 43.22268, 44.60137, 24.00988,  0.20511,  0.14538, 44.60137, 24.00988,  0.20898,  0.14409
      243027,RED,  2.06610, 44.13008,      NaN,      NaN, 43.19728, 43.86927, 23.31905,  0.42233,  0.27856, 43.86927, 23.31905,  0.40263,  0.28010
      245362,RED,  2.49830, 44.35869,      NaN,      NaN, 43.51687, 44.06130, 23.09552,  0.55836,  0.32634, 44.06130, 23.09552,  0.58039,  0.32105
      251243,RED,  0.75070, 42.84419,      NaN,      NaN, 42.03305, 42.78912, 23.44071,  0.34536,  0.26042, 42.78912, 23.44071,  0.36712,  0.25113
