ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN,LOG_NH_COSMOS
66097,BLU,1.147,43.49254,43.95522,43.78,nan,43.33373,21.0,0.0,0.0,43.95522,21.85168,3.24848,0.37195,22.820201448077437
87390,BLU,1.266,43.45788,43.669,43.669,nan,43.30462,21.0,0.0,0.0,43.669,21.0,5.27699,0.0,nan
99915,BLU,1.599,43.29784,43.80104,43.648,nan,43.17018,21.0,0.0,0.0,43.80104,21.73193,3.78928,0.3511,22.901458296548107
100728,GRN,2.649,45.32018,44.29383,44.082,nan,44.63807,23.11805,0.56023,0.32049,44.29383,22.04527,2.56176,0.39394,23.5646660535534
110707,GRN,1.5,44.62238,43.56818,43.438,nan,44.2828,23.54949,0.29628,0.22523,43.56818,21.61245,4.0468,0.33254,22.71683772643067
121266,BLU,1.276,43.12555,43.75225,43.534,nan,43.02546,21.0,0.0,0.0,43.75225,22.0765,2.46033,0.39607,23.096910019022353
123228,GRN,1.029,44.67365,44.27485,44.226,nan,44.32586,21.45725,4.8529,0.28294,44.27485,21.21352,5.29472,0.18069,22.045349873240905
128954,BLU,1.16,44.62618,45.03484,44.984,nan,44.28599,21.0,0.0,0.0,45.03484,21.22226,5.50244,0.17975,21.78001471133728
134731,BLU,1.731,43.75819,43.572,43.572,nan,43.55688,21.0,4.50875,0.0,43.572,21.0,5.77842,0.0,nan
136373,BLU,0.967,43.64917,44.07484,43.872,nan,43.4653,21.0,0.0,0.0,44.07484,22.0015,2.74396,0.38905,22.363987807256898
138914,BLU,0.926,43.43528,43.203,43.203,nan,43.28564,21.3736,5.24507,0.25257,43.203,21.0,5.26801,0.0,nan
143648,GRN,1.766,44.51086,44.011,44.011,nan,44.18912,21.86738,3.03296,0.3792,44.011,21.0,5.69818,0.0,nan
145252,GRN,1.47,44.62405,44.51484,44.255,nan,44.2842,21.12764,5.94231,0.09459,44.51484,22.27413,1.84007,0.40084,22.43028470607612
147807,BLU,1.513,42.06749,43.48668,43.323,nan,42.13669,21.0,0.0,0.0,43.48668,21.78896,3.39093,0.36698,22.923761952594617
149081,GRN,1.242,44.61861,43.423,43.423,nan,44.27963,23.56175,0.29802,0.22238,43.423,21.0,5.41318,0.00095,nan
149224,BLU,1.634,43.48539,43.729,43.729,nan,43.32773,21.0,0.0,0.0,43.729,21.0,5.11657,0.0,22.27184159481183
149480,BLU,0.967,43.37076,43.26892,43.166,nan,43.23144,21.29008,5.36775,0.20915,43.26892,21.47212,4.7774,0.28892,nan
150058,GRN,1.106,44.92174,44.29485,44.145,nan,44.4787,22.55712,1.29565,0.3955,44.29485,21.71521,3.74171,0.34999,22.313403174278175
150214,GRN,0.851,44.65997,44.30484,44.355,nan,44.31438,21.0,3.32828,0.0,44.30484,21.0,2.86381,0.0,20.954242874684983
150604,BLU,0.634,43.22458,43.1843,42.961,nan,43.10864,21.70371,3.88538,0.34329,43.1843,22.10111,2.27865,0.39936,22.75739601505695
154213,BLU,1.433,43.97993,44.20485,44.083,nan,43.74314,21.0,0.0,0.0,44.20485,21.56888,4.20394,0.31921,22.88337748855821
155074,GRN,1.663,44.98565,44.75484,44.641,nan,44.50426,21.0,0.73097,0.0,44.75484,21.52708,4.59612,0.3005,22.350364338798638
156308,BLU,1.042,43.07406,43.365,43.365,nan,42.98221,21.0,0.0,0.0,43.365,21.0,5.27759,0.00956,22.489958460930392
158738,BLU,1.842,43.66902,43.57205,43.48,nan,43.48197,21.00863,5.34299,0.01627,43.57205,21.41932,4.81863,0.27529,nan
158815,BLU,1.424,43.8803,43.69468,43.475,nan,43.65945,21.90178,3.13669,0.37782,43.69468,22.0835,2.35783,0.39867,22.250420390446486
158988,BLU,1.365,44.67477,44.53484,44.422,nan,44.3268,21.0,1.52902,0.0,44.53484,21.52184,4.58028,0.30415,23.1702617216207
161349,GRN,0.977,44.34932,44.07484,43.993,nan,44.05343,21.26574,5.40616,0.19975,44.07484,21.36975,5.01988,0.25613,22.235301134259682
163682,BLU,3.567,43.06527,43.824,43.824,nan,42.97483,21.0,0.0,0.0,43.824,21.0,5.27051,0.00065,nan
164133,GRN,1.031,44.91246,45.03484,44.841,nan,44.47498,21.0,0.0,0.0,45.03484,21.9528,2.78278,0.38525,21.78189889543376
165901,BLU,1.253,43.48446,43.197,43.197,nan,43.32695,21.61124,4.4059,0.32482,43.197,21.0,5.36031,0.00989,nan
166147,BLU,1.231,44.20901,44.47484,44.366,nan,43.93557,21.0,0.0,0.0,44.47484,21.50092,4.95861,0.29278,22.893761947764144
166308,BLU,3.098,44.50966,44.68485,44.433,nan,44.18812,21.0,0.0,0.0,44.68485,22.24013,1.88019,0.4042,22.089905486623504
166981,GRN,2.455,44.92147,45.15484,44.917,nan,44.47859,21.0,0.0,0.0,45.15484,22.17194,2.02205,0.40239,22.755951043516287
167507,GRN,2.735,45.30585,43.81654,43.62,nan,44.63234,23.72312,0.23535,0.18678,43.81654,21.96746,2.78927,0.38688,23.51982796877943
167512,BLU,0.985,43.18088,43.1861,42.97,nan,43.07193,21.4673,5.05042,0.28669,43.1861,22.06604,2.29435,0.39802,22.941014198674086
167601,GRN,0.285,43.73829,43.52485,42.62,nan,43.54017,23.6276,0.27002,0.20632,43.52485,23.61172,0.27568,0.21417,23.268109753512277
169542,GRN,0.481,44.05183,43.59484,43.622,nan,43.80354,21.88597,2.8536,0.38158,43.59484,21.0,4.14566,0.0,21.11394365486381
169706,BLU,1.274,42.76276,44.03484,43.976,nan,42.72072,21.0,0.0,0.0,44.03484,21.25803,5.05921,0.1956,22.46811090394716
171577,BLU,2.284,44.84779,43.93195,43.684,nan,44.44911,23.4538,0.34137,0.253,43.93195,22.22117,1.93911,0.40256,23.605305047185603
171771,BLU,1.981,44.2181,43.778,43.778,nan,43.9432,21.79726,3.5163,0.36375,43.778,21.0,5.42922,0.0,21.059184630868458
171901,BLU,0.364,43.0667,44.43485,44.522,nan,42.97603,21.0,0.0,0.0,44.43485,21.0,1.86068,0.0,23.1159431858767
172592,GRN,1.24,44.63455,43.559,43.559,nan,44.29302,23.40881,0.34439,0.2606,43.559,21.0,5.04766,0.00187,nan
172708,GRN,2.43,46.30854,44.26346,44.071,nan,45.03342,23.67139,0.25736,0.19827,44.26346,21.94531,2.92569,0.38252,23.40823997401549
172922,BLU,3.244,45.34847,45.13484,44.747,nan,44.64939,21.0,1.34573,0.0,45.13484,22.72912,0.96143,0.38855,22.86752638920166
172935,BLU,0.886,44.56177,44.35484,43.944,nan,44.23189,22.3875,1.61801,0.40437,44.35484,22.79081,0.88566,0.38084,22.834484257778026
173021,BLU,1.449,44.2097,44.23484,43.806,nan,43.93614,21.61225,4.14316,0.32785,44.23484,22.83553,0.83031,0.37039,22.49968720544131
173053,BLU,0.893,42.90976,43.19581,42.979,nan,42.84419,21.0,0.76321,0.0,43.19581,22.06952,2.36407,0.39623,22.883661428077524
173384,BLU,1.164,43.71405,43.89484,43.62,nan,43.5198,21.0,1.38581,0.0,43.89484,22.33478,1.66364,0.40219,nan
174129,GRN,0.504,44.13774,43.18485,42.973,nan,43.8757,23.6095,0.26611,0.21007,43.18485,22.04534,2.30364,0.39702,22.1367209115821
