ID,Group,z,Kelly_Lx,Auge_Lx
49940,BLU,0.807000,43.166000,43.166000
66097,BLU,1.147000,43.955223,43.955222
87390,BLU,1.266000,43.669000,43.668999
99915,BLU,1.599000,43.801044,43.801043
100728,GRN,2.649000,44.293830,44.293832
110707,GRN,1.500000,43.568180,43.568182
121266,BLU,1.276000,43.752247,43.752245
123228,GRN,1.029000,44.226000,44.274845
128954,BLU,1.160000,44.984000,45.034844
134731,BLU,1.731000,43.572000,43.571999
136373,BLU,0.967000,44.050488,44.074844
138914,BLU,0.926000,43.203000,43.202999
143648,GRN,1.766000,44.011000,44.011002
145252,GRN,1.470000,44.356277,44.514843
147807,BLU,1.513000,43.486680,43.486678
149081,GRN,1.242000,43.423000,43.423000
149224,BLU,0.967000,43.268925,43.268923
149480,BLU,1.634000,43.729000,43.729000
150058,GRN,1.106000,44.262474,44.294846
150214,GRN,0.851000,44.355000,44.304844
150604,BLU,0.634000,43.184296,43.184297
154213,BLU,1.433000,44.180996,44.204846
155074,GRN,1.663000,44.641000,44.754845
156308,BLU,1.842000,43.572052,43.572051
158738,BLU,1.042000,43.365000,43.365002
158815,BLU,1.365000,44.516747,44.534844
158988,BLU,1.424000,43.694680,43.694681
161349,GRN,0.977000,44.107075,44.074844
163682,BLU,3.567000,43.824000,43.824001
164133,GRN,1.031000,44.955640,45.034844
165901,BLU,1.253000,43.197000,43.196999
166147,BLU,3.098000,44.433000,44.684845
166308,BLU,1.231000,44.366000,44.474842
166981,GRN,2.455000,44.917000,45.154842
167507,GRN,2.735000,43.816544,43.816542
167512,BLU,0.985000,43.186096,43.186098
167601,RED,0.285000,42.974575,43.524845
169542,GRN,0.481000,43.622000,43.594845
169706,BLU,1.274000,43.976000,44.034844
171577,BLU,2.284000,43.931950,43.931950
171771,BLU,0.364000,44.522000,44.434845
171901,BLU,3.244000,44.747000,45.134842
172592,GRN,1.240000,43.559000,43.558998
172708,GRN,2.430000,44.263466,44.263464
172922,BLU,1.449000,43.964640,44.234844
172935,BLU,0.886000,44.193493,44.354843
173021,BLU,1.164000,43.620000,43.894844
173053,BLU,0.893000,43.195812,43.195811
173384,BLU,1.981000,43.778000,43.778000
174129,GRN,0.504000,43.104942,43.184845
175431,BLU,1.740000,43.387000,43.634185
176906,BLU,1.440000,43.387000,43.387001
177697,GRN,1.813000,44.019320,44.019323
178236,GRN,2.203000,44.423615,44.614845
179631,GRN,1.171000,44.149000,44.264843
179996,BLU,1.919000,43.887000,43.887001
180462,BLU,1.500000,43.817000,43.817001
181381,BLU,1.595000,43.484000,43.842527
183655,BLU,1.584000,43.531940,43.531940
185819,BLU,1.662000,44.317062,44.424843
185917,BLU,1.089000,44.599410,44.604843
189307,GRN,2.278000,44.184000,44.183998
189381,BLU,2.035000,43.522000,43.914544
191523,BLU,1.335000,43.904305,43.904304
191981,GRN,1.747000,44.085000,44.204846
192185,GRN,2.275000,44.511150,44.844845
192327,BLU,1.066000,43.220340,43.220340
192643,GRN,0.599000,43.371000,43.414845
192835,BLU,1.339000,44.106850,44.494843
193191,BLU,1.638000,43.603756,43.603756
193212,GRN,1.361000,44.282000,44.424843
193500,BLU,0.828000,43.244000,43.672291
195004,BLU,1.247000,43.998000,44.014843
195293,BLU,1.667000,43.906643,43.906642
196126,BLU,0.518000,43.550000,43.549999
197038,RED,0.518000,42.950820,42.884842
197979,BLU,1.947000,44.320520,44.320518
198348,BLU,1.449000,43.756027,43.756026
198996,BLU,4.182000,44.364180,44.364183
199713,BLU,1.051000,44.411000,44.434845
200240,GRN,1.822000,44.762512,45.004845
201389,GRN,1.239000,43.362680,43.362677
201497,BLU,0.972000,44.007210,44.174843
201555,GRN,3.343000,43.991130,43.991132
202465,BLU,0.839000,43.526417,43.914845
202984,GRN,1.757000,44.588000,44.974842
203041,BLU,1.709000,44.135000,44.134998
204337,RED,0.623000,42.825280,42.825278
205469,BLU,1.427000,43.284523,43.284523
205954,GRN,1.166000,43.591000,43.755943
206533,GRN,1.982000,44.400530,44.400532
208027,BLU,1.316000,43.791680,43.514843
208611,BLU,0.775000,43.603000,43.604843
208681,BLU,2.968000,44.469013,44.469013
208739,GRN,0.772000,43.398903,43.398901
210362,BLU,2.655000,43.630203,43.630202
210704,GRN,1.668000,43.980045,43.980045
211437,BLU,0.681000,44.049393,44.404842
212499,GRN,2.841000,44.683125,44.683124
212772,BLU,2.214000,44.314000,44.444843
212779,BLU,1.151000,43.509830,43.509831
212953,BLU,2.605000,44.032764,44.032766
213360,GRN,2.255000,44.309000,44.554844
213663,BLU,1.260000,43.638268,43.638267
214195,BLU,2.295000,43.710000,43.709999
215142,GRN,1.285000,44.678474,44.694843
215158,BLU,1.531000,43.891266,43.891265
215651,BLU,1.428000,43.568000,43.568001
215821,RED,1.241900,-99.000000,nan
215847,BLU,0.684000,43.547000,44.594845
215929,BLU,0.104000,43.252220,43.444843
215943,BLU,1.502000,44.048767,44.048765
216308,RED,3.363200,-99.000000,nan
216350,BLU,1.293000,43.461000,43.424843
216637,BLU,1.313000,43.430000,43.619096
216708,GRN,1.130000,43.273000,43.272999
217180,BLU,0.650000,43.241430,43.241428
217425,GRN,2.408000,44.585000,44.864845
217489,BLU,1.793000,44.383087,44.424843
218320,BLU,1.873000,43.695225,43.695224
218980,BLU,1.338000,44.053925,44.034844
219599,RED,0.769200,-99.000000,nan
220345,BLU,2.078000,44.747463,44.384842
220551,GRN,1.941000,44.387337,44.504845
220730,BLU,2.046000,44.284270,44.464844
221224,RED,2.233400,-99.000000,nan
221280,RED,2.234800,-99.000000,nan
221793,RED,1.967200,-99.000000,nan
221933,RED,3.187600,-99.000000,nan
222363,BLU,0.372000,43.231087,43.344845
222544,BLU,1.150000,44.346000,44.434845
222723,BLU,0.995000,44.118000,44.114845
223559,RED,1.289000,-99.000000,nan
223756,RED,2.078700,-99.000000,nan
223778,BLU,1.248000,44.586000,44.704846
223951,GRN,1.592000,45.101000,45.224842
223968,RED,1.370900,-99.000000,nan
223969,BLU,1.426000,43.614000,44.024845
224665,RED,2.301100,-99.000000,nan
226060,BLU,1.741000,43.211000,43.210999
226088,BLU,0.901000,43.305000,43.174843
226195,RED,0.312600,-99.000000,nan
226472,RED,2.324900,-99.000000,nan
227007,BLU,2.293000,43.955128,43.955130
227400,BLU,0.622000,43.463000,43.444843
228653,RED,3.437200,-99.000000,nan
228670,GRN,2.389000,44.615000,44.854843
229382,BLU,1.408000,43.370000,43.369999
229549,GRN,1.273000,43.418000,43.834801
229938,GRN,1.617000,44.150000,44.264843
230426,RED,2.511300,-99.000000,nan
230442,BLU,2.265000,43.775000,44.934845
230785,BLU,0.404000,43.038000,42.854843
231455,BLU,0.815000,43.711000,43.684845
231458,BLU,2.006000,43.951000,44.324844
231837,GRN,2.497000,45.269000,45.374844
231958,BLU,1.488000,43.179000,43.406679
