# ID,Lx_corr,log_Lx_int,log_Lx_obs,group
66097,0.668000,43.955222,43.779999,BLU
87390,1.000000,43.668999,43.668999,BLU
99915,0.703000,43.801043,43.647999,BLU
121266,0.605000,43.752245,43.534000,BLU
128954,0.889524,45.034844,44.984001,BLU
134731,1.000000,43.571999,43.571999,BLU
136373,0.626841,44.074844,43.872002,BLU
138914,1.000000,43.202999,43.202999,BLU
147807,0.686000,43.486678,43.323002,BLU
149224,0.789000,43.268923,43.166000,BLU
149480,1.000000,43.729000,43.729000,BLU
150604,0.598000,43.184297,42.960999,BLU
154213,0.755361,44.204846,44.083000,BLU
156308,0.809000,43.572051,43.480000,BLU
158738,1.000000,43.365002,43.365002,BLU
158815,0.771183,44.534844,44.422001,BLU
158988,0.603000,43.694681,43.474998,BLU
163682,1.000000,43.824001,43.824001,BLU
165901,1.000000,43.196999,43.196999,BLU
166147,0.559956,44.684845,44.432999,BLU
166308,0.778321,44.474842,44.366001,BLU
167512,0.608000,43.186098,42.970001,BLU
169706,0.873289,44.034844,43.976002,BLU
171577,0.565000,43.931950,43.683998,BLU
171771,1.222234,44.434845,44.521999,BLU
171901,0.409411,45.134842,44.747002,BLU
172922,0.372525,44.234844,43.806000,BLU
172935,0.388291,44.354843,43.944000,BLU
173021,0.531074,43.894844,43.619999,BLU
173053,0.607000,43.195811,42.979000,BLU
173384,1.000000,43.778000,43.778000,BLU
176906,1.000000,43.387001,43.387001,BLU
179996,1.000000,43.887001,43.887001,BLU
180462,1.000000,43.817001,43.817001,BLU
181381,0.438000,43.842527,43.484001,BLU
183655,0.750000,43.531940,43.407001,BLU
185819,0.562544,44.424843,44.174999,BLU
185917,0.679449,44.604843,44.437000,BLU
189381,0.405000,43.914544,43.521999,BLU
191523,0.734000,43.904304,43.770000,BLU
192327,0.674000,43.220340,43.049000,BLU
192835,0.207090,44.494843,43.811001,BLU
192989,0.432000,43.279517,42.915001,BLU
193191,0.649000,43.603756,43.416000,BLU
193500,0.373000,43.672291,43.243999,BLU
195004,0.961962,44.014843,43.998001,BLU
195293,0.694000,43.906642,43.748001,BLU
196126,1.000000,43.549999,43.549999,BLU
197979,0.749000,44.320518,44.195000,BLU
198348,0.537000,43.756026,43.486000,BLU
198996,0.741000,44.364183,44.234001,BLU
199713,0.946573,44.434845,44.410999,BLU
201497,0.422820,44.174843,43.800999,BLU
202465,0.231822,43.914845,43.279999,BLU
203041,1.000000,44.134998,44.134998,BLU
205032,0.199598,43.054844,42.355000,BLU
205469,0.691000,43.284523,43.124001,BLU
208611,0.995766,43.604843,43.603001,BLU
208681,0.547000,44.469013,44.207001,BLU
210362,0.543000,43.630202,43.365002,BLU
211437,0.218352,44.404842,43.743999,BLU
212588,0.261310,43.204846,42.622002,BLU
212772,0.739871,44.444843,44.313999,BLU
212953,0.646000,44.032766,43.842999,BLU
213663,0.693000,43.638267,43.479000,BLU
214195,1.000000,43.709999,43.709999,BLU
215158,0.693000,43.891265,43.731998,BLU
215651,1.000000,43.568001,43.568001,BLU
215847,0.089569,44.594845,43.547001,BLU
215929,0.351688,43.444843,42.991001,BLU
215943,0.697000,44.048765,43.891998,BLU
216350,1.086815,43.424843,43.460999,BLU
216637,0.647000,43.619096,43.430000,BLU
217180,0.704000,43.241428,43.089001,BLU
217489,0.650363,44.424843,44.237999,BLU
218320,0.668000,43.695224,43.520000,BLU
218980,0.580973,44.034844,43.799000,BLU
220345,1.795386,44.384842,44.639000,BLU
220730,0.474411,44.464844,44.140999,BLU
222363,0.502524,43.344845,43.046001,BLU
222544,0.814996,44.434845,44.346001,BLU
