ID,i
100728,61879
110707,66958
123228,77706
143648,103284
145252,106135
149081,110379
150058,111905
150214,112217
155074,119537
161349,128481
164133,134556
166981,136564
167507,137398
167601,141931
169542,141954
172592,144888
172708,144558
174129,146481
177697,151322
178236,156845
179631,155297
189307,168892
191981,172900
192185,173336
192643,173701
193212,175613
197038,179801
200240,184515
201389,187628
201555,186001
202984,188561
204337,189297
205954,192142
206533,192896
208739,196724
210704,199082
212499,201415
213360,202623
215142,205832
215821,206311
216308,207338
216708,207913
217425,208864
219599,211729
220551,213418
221224,214321
221280,214504
221793,215602
221933,215732
223559,218059
223756,218378
223951,220132
223968,218511
224665,219968
226195,221753
226472,223012
228653,224748
228670,224670
229549,227346
229938,226871
230426,227915
231837,230150
233605,234672
233916,233258
234745,235577
235265,235022
238114,239140
238668,241366
239310,241587
239627,241782
240362,243257
240778,244239
241554,244578
242550,246912
243027,247307
244448,249000
245362,251002
246403,252183
249669,257214
251243,259456
251852,260537
253494,263448
253510,263691
254070,264594
254973,268571
255123,266147
255148,265268
255653,267711
256906,268812
257247,268792
257886,270522
258594,271852
259215,275112
261602,277373
261822,277133
262286,278335
262516,278332
262857,278402
263032,278807
264041,280112
264232,280860
264418,280577
264588,281785
265974,283617
266013,283242
266042,284010
266916,284543
271177,291568
272293,293132
272738,293819
273170,294528
273260,294760
273594,295645
274051,295542
274335,296134
274371,297572
275098,297536
275452,298422
275629,299061
277467,300351
278421,302850
278898,304405
279689,305042
279879,304507
279993,305258
280322,305721
280625,306475
280712,307085
280768,306280
280813,307108
281548,308116
283629,311011
284147,312496
284435,312145
284733,313041
285283,313907
285385,315061
285627,315112
285984,314816
287155,316903
287239,316989
287834,318563
288793,320296
288944,319456
289874,321898
289891,321726
292294,325104
293576,331100
295934,331411
295961,331622
299893,337855
303302,343446
303625,344323
303691,344593
304818,346840
304928,345727
305868,347823
306476,351000
306758,350095
307055,349528
307901,351647
308287,351913
309365,353290
309400,353795
309585,353680
310180,359816
310591,355549
311246,356450
311451,356937
312003,357871
314341,361477
314431,361846
314722,362255
314810,362715
314830,362275
316110,364838
317570,367478
317720,368514
317748,366936
317991,367778
318426,368240
321176,373614
325140,379246
325177,381054
325732,380866
327470,383018
328104,384305
328457,384596
328627,386810
329628,387049
330332,387202
330333,388110
331013,388866
333072,391689
333082,392139
333229,392809
333394,392933
334369,392231
335753,396345
336989,398756
337738,400359
338083,399951
338765,401122
339381,402257
339687,402421
340238,403652
342325,407316
342369,407344
343447,408697
344843,412392
345290,412065
345932,412927
346443,413606
347369,415254
347873,415923
348191,416701
348345,417353
348999,417677
350733,426514
351641,421670
351929,422222
352012,422143
352229,422021
352454,423102
352947,423455
353402,424378
353591,424171
354213,426101
354871,427018
356643,429355
356973,430418
358432,432356
359584,434474
360003,435439
361365,437790
361705,438290
361844,439126
362846,440183
363407,440980
364116,442446
364327,442358
366352,445949
367234,446874
367739,448318
368267,450768
368360,449454
370490,452705
371168,453303
371377,454093
372919,456331
373275,457143
374655,459163
374747,459171
375204,460371
378212,464860
378815,466275
379110,468003
379302,466573
379813,468101
380494,467928
380648,468855
381137,471535
381564,470265
381621,469705
381942,471569
383334,473102
383898,474055
386177,478003
386536,477923
386731,478997
388484,479792
388646,481181
389077,481942
389479,483305
390895,485307
391416,486115
391780,487638
391905,486925
392551,487975
393765,490090
393849,490081
393866,490374
395780,493450
396322,494058
397321,496096
397900,499870
398483,498026
398904,498286
398986,498774
399685,499835
399890,500308
400930,501955
401148,502094
401271,501495
402222,503789
402319,504036
402379,504001
402904,505340
403419,505905
403459,505208
404028,506867
404550,507454
406283,509858
406312,510723
407347,511591
408043,513912
408440,513818
408892,515128
408968,514443
410459,516912
410490,518797
411095,517913
411160,517818
411456,518418
412346,520946
413145,521274
413642,522490
414248,523206
415440,524779
415894,525722
417645,529897
417652,529544
418665,529981
419216,531223
419317,531818
419634,532055
420086,532490
420622,533939
420753,534138
421977,535546
422734,536934
423114,537588
423522,537038
423620,539069
424136,539528
424758,542033
425969,542373
426235,542655
427683,547220
428262,545395
428823,547593
429443,553225
429471,547662
430033,549164
432314,557122
432776,557853
433236,555234
433662,556183
434118,556635
434653,557288
435741,559318
436688,561098
436694,561452
437094,562724
437924,563239
438137,563919
438627,568802
438793,564005
439937,566277
440292,567660
441206,568706
441615,569435
441888,569518
441945,569930
442236,570699
443935,573543
444473,574545
445389,577178
445486,575865
446438,578987
446680,577772
447171,579307
447224,578704
447837,580657
448160,585342
448282,581345
448517,581779
448782,581892
448996,581993
449276,583902
449364,582718
450233,584178
450661,584933
451179,585857
452169,587725
452901,589033
453072,589084
453243,589631
453918,590617
454474,590911
454916,592807
455313,592768
455355,592877
455603,594183
456808,595243
457171,596219
457348,596715
459149,599450
459682,601239
460965,603320
461606,610245
462238,602688
462290,604693
464014,607755
464309,608600
465316,614836
466118,611091
466186,611471
467878,613670
468408,614631
468485,615681
468771,616336
469153,616430
469339,617046
471626,620138
471767,620341
473114,623213
475206,627089
477125,630720
478338,631607
481172,639259
481664,642177
482212,639373
482650,639546
483000,640032
484342,645298
485106,643351
485277,645906
485406,645881
485550,644356
486220,647238
487846,648422
488068,649262
489390,654424
489601,651457
490038,652540
490692,653312
491658,655702
491819,656313
492525,657018
492534,660906
494577,665542
495324,662618
496985,663575
496988,663890
497397,664363
498351,665391
498569,675437
499247,667765
500105,668415
500252,668626
500354,668691
500438,668812
500820,669368
502020,671543
502241,672133
502297,672352
502321,672227
502554,672372
503415,673949
503996,674593
504186,675147
505102,676598
505480,676619
506033,678572
506854,686313
507179,679533
508514,682266
509017,683133
509367,685085
510152,684974
510223,684720
510871,686030
512384,688226
512397,688451
512778,689177
512840,689354
513984,691396
514705,692452
515190,693318
516101,694675
516147,695407
516177,694836
516922,697480
517617,697300
518659,699561
519447,699974
520772,702283
520863,702813
520908,703222
521908,704321
521987,703374
524890,709003
526106,710799
526158,710712
528135,713393
529336,716109
529584,716408
529855,724811
530363,718057
530790,718559
530898,718744
532786,722434
533666,722980
534026,723928
534119,723967
534284,724335
534652,725112
534850,725562
536268,728762
536362,727555
536630,730779
536673,728042
537774,738985
538906,732427
539350,732376
539583,734968
541777,736237
541867,736915
541945,737564
541957,736959
542444,737836
542937,738499
543174,738575
543209,739898
543250,739674
543297,747116
543535,740194
544048,741229
544316,740452
544769,741190
546422,744254
547199,745197
547352,746088
548204,746721
549557,754583
549676,749951
551947,752690
553928,759731
554010,756279
555791,759145
556169,760365
556195,759683
556928,761041
558207,763155
558647,764222
559688,765853
559847,765740
560406,766504
560439,766659
565978,777017
566537,776216
567121,778253
567452,788866
568506,780805
569172,780742
569318,781544
569840,780716
569893,781338
570129,783035
570880,783736
571753,785259
