ID,i
100728,1866
110707,2743
123228,1842
143648,1834
145252,1838
149081,1861
150058,1843
150214,1877
155074,1837
161349,2020
164133,1878
166981,1768
167507,1875
167601,1827
169542,1849
171901,1910
172592,2830
172708,1844
174129,1840
177697,1908
178236,1901
179631,1873
189307,2834
191981,1770
192185,1948
192643,1809
193212,1951
197038,1769
200240,2162
200884,2738
201389,2764
201555,1869
202984,2151
204337,1906
205954,3673
206533,3376
208739,3280
210704,1903
212499,1802
213360,1831
215142,1918
216708,1904
217425,1913
220551,1784
223951,2025
228670,2154
229549,3257
229938,1897
231837,2141
232171,3299
233605,538
233916,2711
235265,1762
238668,2735
240362,1896
240895,1952
241554,1953
242550,2148
244448,1895
249669,2142
253192,3241
253494,534
254070,1916
254973,2135
255123,2677
255148,1783
255653,878
261602,2031
262286,886
262516,2022
263032,537
264041,3259
264232,2758
264418,1003
264588,1957
266013,1905
266042,1779
271177,2825
274335,1782
277467,4004
278421,4001
279879,2158
279993,3640
280322,3431
280712,2026
280768,2157
280813,1823
284147,1955
284733,2698
285283,1811
285627,911
286870,1445
287239,1808
289874,1960
289891,747
293576,895
295934,1512
295961,3267
297892,996
303691,2038
305868,1583
306476,1800
307901,3348
309585,1752
310180,1789
310591,2050
311451,875
312003,544
314431,2040
314830,2051
316110,2046
316931,850
317570,4007
317720,49
325732,2793
327470,4005
328627,2045
329628,3231
330333,2647
331013,808
333072,831
333082,1778
333229,4006
333394,3996
334369,1965
336989,802
339381,1963
339687,901
342325,799
342369,3999
344843,545
345932,829
348345,712
350733,33
352454,3990
353402,993
353591,1446
358432,3989
361705,703
364116,1025
367739,2839
368267,1969
368360,793
370490,413
371168,1946
373275,1943
374747,3247
378815,3613
379110,1143
379302,2852
379813,1061
381137,852
381564,2089
381621,53
383898,1135
385941,2166
386177,835
386536,806
386731,889
388484,2064
388646,775
390895,2623
391416,107
391905,2169
393765,688
393849,1109
393866,630
397321,3983
397900,674
398904,2175
399685,24
400930,45
401148,2176
402319,2844
403419,789
404028,551
407347,1976
408043,1141
408440,797
408968,2177
410490,1441
411160,651
412346,2211
413642,44
414248,671
415440,746
417652,20
419216,717
419317,1114
419634,2172
420086,727
420622,634
422734,1149
423522,1132
424136,1152
427683,1578
428262,718
428823,2631
429443,1145
432314,526
433236,1573
433662,123
434653,559
435741,3607
436688,3981
437094,11
437924,193
438137,121
438627,2216
440292,3987
442236,1138
443935,3986
445486,90
446680,3205
447171,122
447224,486
447837,1066
448160,1130
448282,1112
448411,2084
448517,1984
448782,429
448996,3326
449276,558
449364,657
451179,185
452169,472
452901,2197
454474,2192
454916,1052
455313,1041
455603,91
456808,567
457171,1051
459421,678
459682,16
460385,1519
460965,2082
461606,673
462238,113
462290,2199
464309,750
465316,1077
468408,2080
468485,667
468771,1042
469339,1250
471626,1238
471767,1086
473114,1040
477125,478
478776,1503
478944,26
481172,977
481664,84
484342,3982
485277,3868
485406,594
486220,1031
489491,1251
490038,1071
490692,2191
491819,1006
492525,95
492534,803
494577,1244
495324,590
496985,1313
496988,68
497397,1120
498351,1590
498569,1253
499247,518
500252,2085
500438,1993
502241,1369
502297,1988
502321,1036
502554,1248
503415,556
505102,1016
505480,1740
506033,2864
506854,1033
507179,2858
508514,69
510152,3876
510223,3873
510871,1183
512384,3878
512778,3866
512840,3875
513984,1991
514705,1011
516101,2075
516147,1043
516177,2087
516922,1258
517617,329
517775,931
519447,1625
521908,1008
526106,155
528135,379
529336,1989
529584,2619
529855,1172
530363,990
530790,1223
532786,60
533666,1996
534026,1391
534119,88
534850,1513
536630,1659
536673,3152
537774,1215
538906,1027
539307,1161
539583,3871
541230,2555
543297,1447
543535,1224
544403,3852
544769,3577
547352,1662
549557,1226
549676,1657
551947,83
553928,1067
556169,1306
556928,958
558556,954
558647,1685
559688,1622
561143,2106
565978,2002
567121,1664
567452,945
568506,1227
568616,1663
569318,72
569893,2108
570129,962
570880,2560
571753,3422
571990,2095
572384,2099
572704,1318
575696,1202
576870,1459
577692,1469
577999,1451
579415,951
580231,952
580861,3862
580884,1466
581105,1677
582749,3856
585366,1317
585642,1214
586341,923
586685,1150
587486,3942
592667,2100
592797,2098
593404,1201
594434,2103
595487,676
599948,1200
600384,3155
604824,163
605445,1655
606414,1373
607093,3859
608549,2820
609017,971
613328,1652
613543,921
614402,105
616159,1467
616983,1696
617775,1208
619550,1154
620323,1535
623618,1365
624239,1673
624284,756
624526,1298
625004,249
627823,2815
629776,2003
630435,774
630484,3908
630503,3429
631272,158
631339,1207
632339,157
633300,1155
635245,243
635784,317
635862,1181
636324,3175
638527,140
640145,722
640360,1470
640443,3909
641847,653
643223,3926
643313,2543
643480,1232
643581,1422
644795,1653
648114,3917
648173,1656
648762,1166
652010,805
654154,3933
654576,2111
656621,1165
657703,2874
661442,1231
662715,2120
663103,1620
663735,1705
665479,1174
665603,3374
666394,2129
666872,1370
672158,1477
673312,283
674119,1195
675269,1377
676097,1361
676685,3916
676717,463
677305,295
677692,3943
678533,1257
678793,239
679413,1430
680726,1710
681237,1701
681303,228
683219,1196
684158,585
684508,225
687071,1612
687898,1525
688136,1348
688457,3930
689518,458
689768,2243
690687,2127
690971,1638
692655,2229
694697,3924
695445,3846
695834,240
696146,210
698041,476
698738,3928
698983,1629
699088,3929
701418,1711
703122,1693
703733,1354
706615,1260
707749,3833
709134,1297
709137,3841
709713,1263
709816,2577
711091,343
711692,1292
711809,1351
713253,1721
714401,1715
714907,1658
716342,1520
717817,1270
719096,1293
719155,3836
719811,1352
720578,22
720608,1692
722533,3826
724890,1488
725161,3838
725672,1494
725685,473
726941,2125
726986,1680
729557,3567
729570,1169
733581,1417
733937,2277
734723,1415
734769,1581
734950,1688
735335,1413
736288,1637
737008,484
737222,1267
737473,1420
738308,1409
748454,1277
750623,2383
751736,1694
752983,1521
753049,205
754369,2320
754797,2916
754804,2914
755017,3008
757535,1416
759628,1398
761839,1572
763569,1433
763619,573
763929,2686
764269,2697
765037,3497
767177,1399
768691,2691
770406,2679
772453,1475
775204,1589
776222,1279
776400,2275
777034,1537
778213,308
778366,85
779091,1287
779324,2355
780589,143
782146,626
782363,2319
782462,356
782508,2673
783183,2270
785300,705
786952,73
788577,1728
793328,1322
793517,96
794848,1738
795729,209
797081,1937
797410,1323
804744,305
805709,2779
806263,2926
807633,154
809278,1647
810108,313
810880,258
811548,2338
811689,2293
812706,1923
812877,132
813703,622
821027,1320
821742,365
822926,3004
824313,2325
825866,222
826133,1332
830656,1338
830661,1124
831683,487
833026,1401
834538,2794
834892,1337
834991,347
837822,2761
839943,1949
841354,1342
842595,627
842703,593
843629,1325
844144,2269
844601,1484
844866,310
845164,2740
847062,2327
847794,1128
848845,2302
851874,2290
852753,374
854904,614
854964,2816
855880,3022
856252,448
856446,2171
856626,2306
858038,1483
859825,2307
860452,490
860628,489
862628,2358
869011,1774
871257,3615
872872,382
878244,3608
879281,2785
880811,2996
882407,505
883444,506
884726,2335
884940,1394
885687,3594
887045,2329
889205,2850
890325,3665
895446,3757
897743,2911
901487,1388
901732,2263
903092,3622
904153,3628
904947,2247
905927,3692
906612,3019
907047,2504
908022,2988
912946,3466
915989,508
916518,2607
916982,1397
919030,3704
919414,3473
922433,3637
928017,2279
928078,2303
928556,2401
930093,497
930432,2870
930796,3025
933997,2966
934339,3773
935543,2833
936644,3712
937557,2614
938102,3632
939014,3078
939172,2323
942263,3810
942395,3713
944019,2376
944497,2995
946085,3161
946476,3811
947453,3888
947471,3722
949132,3664
949151,3891
949321,3086
952044,3710
953926,3949
956585,2479
956759,3214
957291,3675
957935,2530
958542,2974
958682,3002
959179,3950
961208,3883
962054,3462
966973,3663
967393,3758
968549,2992
970077,2981
970232,3512
970584,3885
971246,3546
972387,3672
974555,3963
975133,3043
976485,3688
978444,2595
979733,2601
981552,3122
982004,3201
982990,3769
984181,3321
985892,3660
986016,3244
986701,3747
987573,3957
987849,3539
988550,3484
989640,3951
989672,3318
991721,3678
992008,3762
992147,2497
992340,3959
993201,3156
993805,3386
995126,3726
995219,3128
996570,3679
997300,3193
999621,3297
1001309,3319
1002054,3110
1004988,3316
1013607,3526
1013783,3798
1014035,3805
1017482,3742
1021276,3528
1023312,3262
1024095,2503
1025621,2509
1027745,3276
1030922,3771
1035321,3137
1036595,3799
1037540,3677
1041483,3410
1043926,3313
1044729,3563
1044900,2466
1055541,3555
1057210,3302
1060508,3813
1061421,3062
1069258,3425
1075967,3031
1083894,3535
1094060,3585
1107395,3552
