ID,i COSMOS2020, i CHANDRA 2016
100728,61879,1866
110707,66958,2743
123228,77706,1842
143648,103284,1834
145252,106135,1838
149081,110379,1861
150058,111905,1843
150214,112217,1877
155074,119537,1837
161349,128481,2020
164133,134556,1878
166981,136564,1768
167507,137398,1875
169542,141954,1849
172708,144558,1844
174129,146481,1840
177697,151322,1908
178236,156845,1901
179631,155297,1873
189307,168892,2834
191981,172900,1770
192185,173336,1948
192643,173701,1809
193212,175613,1951
200240,184515,2162
201389,187628,2764
201555,186001,1869
202984,188561,2151
206533,192896,3376
208739,196724,3280
210704,199082,1903
212499,201415,1802
213360,202623,1831
215142,205832,1918
216708,207913,1904
217425,208864,1913
220551,213418,1784
223951,220132,2025
228670,224670,2154
229938,226871,1897
231837,230150,2141
233605,234672,538
235265,235022,1762
238668,241366,2735
240362,243257,1896
241554,244578,1953
242550,246912,2148
244448,249000,1895
249669,257214,2142
253494,263448,534
254070,264594,1916
254973,268571,2135
255148,265268,1783
255653,267711,878
261602,277373,2031
262286,278335,886
262516,278332,2022
263032,278807,537
264232,280860,2758
264418,280577,1003
266013,283242,1905
266042,284010,1779
274335,296134,1782
277467,300351,4004
278421,302850,4001
279879,304507,2158
280322,305721,3431
280712,307085,2026
280768,306280,2157
280813,307108,1823
284147,312496,1955
284733,313041,2698
285283,313907,1811
285627,315112,911
287239,316989,1808
289874,321898,1960
289891,321726,747
295934,331411,1512
295961,331622,3267
303691,344593,2038
305868,347823,1583
306476,351000,1800
307901,351647,3348
309585,353680,1752
310180,359816,1789
310591,355549,2050
311451,356937,875
312003,357871,544
314431,361846,2040
314830,362275,2051
316110,364838,2046
317570,367478,4007
327470,383018,4005
328627,386810,2045
330333,388110,2647
331013,388866,808
333072,391689,831
333082,392139,1778
333229,392809,4006
334369,392231,1965
336989,398756,802
339381,402257,1963
339687,402421,901
342369,407344,3999
344843,412392,545
345932,412927,829
348345,417353,712
350733,426514,33
352454,423102,3990
353591,424171,1446
358432,432356,3989
361705,438290,703
367739,448318,2839
368267,450768,1969
368360,449454,793
371168,453303,1946
373275,457143,1943
374747,459171,3247
379302,466573,2852
379813,468101,1061
381137,471535,852
381564,470265,2089
381621,469705,53
383898,474055,1135
