ID,i
49940,50154
66097,52275
87390,56963
99915,62863
100728,61879
110707,66958
121266,76062
123228,77706
128954,84640
134731,91497
136373,93746
138914,97473
143648,103284
145252,106135
147807,108873
149081,110379
149224,111761
149480,111564
150058,111905
150214,112217
150604,112559
154213,117757
155074,119537
156308,123779
158738,123055
158815,124422
158988,124325
161349,128481
164133,134556
166147,136161
166308,135335
166981,136564
167507,137398
167512,137051
169542,141954
169706,141341
171577,143172
171771,148291
171901,143543
172708,144558
172922,144936
172935,145225
173053,146166
173384,145778
174129,146481
176906,150825
177697,151322
178236,156845
179631,155297
179996,155348
180462,156055
183655,160228
185819,169331
185917,165670
189307,168892
191523,171851
191981,172900
192185,173336
192327,173135
192643,173701
192835,173654
193191,174835
193212,175613
195004,177775
195293,177281
196126,178557
197979,181029
198348,182924
198996,182588
199713,183211
200240,184515
201389,187628
201497,187559
201555,186001
202465,188807
202984,188561
204449,191084
205469,191536
205920,192700
206533,192896
208027,195220
208611,195869
208681,196325
208739,196724
210362,198697
210704,199082
211437,199239
212499,201415
212772,203602
212779,204773
212953,203320
213203,202419
213360,202623
213663,202780
215142,205832
215158,205245
215651,206242
215929,214234
215943,206511
216350,207608
216708,207913
217180,209714
217425,208864
217489,209004
218320,210152
218980,215375
220140,214265
220345,213419
220551,213418
220730,212903
221971,216222
222363,217623
222465,216488
222544,219958
222723,219613
223778,218796
223951,220132
226088,232085
227007,223446
227400,225015
228670,224670
229938,226871
230785,230624
231455,223482
231458,229618
231837,230150
232171,236579
232704,231586
233214,233225
233363,232730
233595,232684
233605,234672
233700,233696
233712,233782
234048,232689
235265,235022
235734,235922
236394,236778
237347,238062
238090,239291
238668,241366
239908,242076
240362,243257
240383,242886
240895,244119
241219,246954
241508,248429
241554,244578
241904,245390
242338,246740
242385,246192
242550,246912
243074,248455
243225,247451
243592,248185
243977,248678
244279,252750
244448,249000
246467,253006
246950,253043
247767,255225
247877,254710
248022,254947
248065,254557
248957,256271
249368,257390
249379,256956
249669,257214
251456,260183
251679,260100
251970,261070
252977,262897
253192,262745
253494,263448
253936,263734
254070,264594
254924,266593
254973,268571
255148,265268
255653,267711
257310,269319
258190,271275
258988,272075
259117,272376
259664,272871
259874,273459
260549,274834
260972,275185
261382,276325
261602,277373
262286,278335
262516,278332
262718,280549
262797,278155
263032,278807
263320,279064
263569,279681
263599,279307
263785,279541
264232,280860
264418,280577
265085,282218
265115,281934
265264,282469
265836,283496
266013,283242
266042,284010
266630,284121
267821,286306
268620,287658
271000,290760
272441,293268
272572,293735
272741,293990
272943,294059
273403,295143
274153,296004
274335,296134
276554,300427
277467,300351
277917,301980
278003,302061
278250,302269
278421,302850
279384,305076
279761,311418
279879,304507
280322,305721
280487,310105
280576,306484
280685,305946
280712,307085
280768,306280
280813,307108
281128,306890
282498,309566
282529,309920
282585,309261
283462,311331
283498,310975
283742,311913
284147,312496
284209,312813
284560,312576
284733,313041
284936,310802
285283,313907
285322,314211
285627,315112
285638,315000
285728,314468
286866,319246
287015,316596
287239,316989
287624,317879
288559,319606
288900,319917
288925,321788
288986,321586
289874,321898
289891,321726
290940,323082
291109,322970
291291,325510
291295,324396
291911,323965
292565,325692
292658,327386
293839,327707
293988,327682
295280,330020
295934,331411
295961,331622
297892,334795
298487,336021
299361,336823
300070,338461
301078,340128
301614,340774
301744,340732
303691,344593
303796,344160
304319,345458
304439,345959
305664,347018
305831,347859
305859,347908
305868,347823
306476,351000
306945,349626
307174,349605
307901,351647
308547,352202
308866,352205
309395,353444
309585,353680
310180,359816
310302,354148
310591,355549
310636,355266
311176,356213
311305,357090
311451,356937
311531,356551
311831,357465
311910,357352
312003,357871
312655,358660
312742,358805
313813,360660
314431,361846
314830,362275
315977,365506
316110,364838
316436,364977
316483,365136
316931,366575
317570,367478
318129,367634
319595,370125
320331,371650
320928,372312
321383,373565
323189,377229
323559,377083
323575,376006
324525,386079
325165,379900
325593,380754
326082,380849
326894,382838
327459,384926
327470,383018
327914,383573
328627,386810
328702,385021
328867,385102
328963,383964
329946,387245
330333,388110
331013,388866
332003,389948
332248,392318
333072,391689
333082,392139
333229,392809
333310,392098
333771,393499
333779,393325
334369,392231
335857,395938
336111,396555
336686,396989
336913,398097
336989,398756
337005,398198
337029,398854
337827,400551
339051,401887
339381,402257
339687,402421
341004,405456
341626,403918
342090,406045
342369,407344
342418,407044
342587,406968
343337,408554
343403,408896
344632,410842
344843,412392
345932,412927
346035,413753
347011,413956
